ID,Name,Rating,Description,Address,Phone_Number,Website
22850,Peoples Liverpool Speke,4.9," Try Before You Buy, Personalised Videos, Reserve Online for £99","Spekehall Road, Speke, Liverpool, Merseyside, L24 9HQ",(0151)-382-7172,www.peoplescars.co.uk
10038035,Motorology,5.0,"Nationwide Same Day Delivery, Request Live Videos, Customised Finance Options","Kings Business Park, Kings Drive, Prescot, Merseyside, L34 1PJ",(0151)-382-2350,motorology.co.uk
10044727,Brickfields Vehicle Sales,5.0,,"Unit 17, Brickfields, Liverpool, Lancashire, L36 6HY",(07537)-122352,www.sales-bvs.co.uk
419586,Volkswagen Van Centre (Liverpool),4.8," Used Car Dealer Awards winners,  Family owned since 2011","2 Evans Road, Liverpool, Merseyside, L24 9PB",(0151)-382-8157,www.swanswaygarages.com
10030785,N S CAR AND COMMERCIAL SALES LTD,5.0,,"Unit 1, Ashcroft Road, Knowsley Industrial Park, Liverpool, Lancashire, L33 7TW",(07418)-690147,www.ns-cars.co.uk
2623134,EVOLUTION PERFORMANCE CARS,5.0,,"Unit 6, Millennium Court, Buildwas Road, Clayhill Light Industrial Park, Neston, Cheshire, CH64 3UZ",(07537)-165920,www.evolutionperformancecars.co.uk
10005136,Harding Motor Company,0.0, 30 YEARS ESTABLISHED IN WIRRAL,"BOATHOUSE LANE, PARKGATE, Neston, Cheshire, CH64 6RD",(0151)-382-5380,www.hardings4cars.co.uk
10013548,Lloyds Garage,0.0,,"Lloyds Garage, NESTON ROAD, WILLASTON, Neston, Cheshire, CH64 2TE",(0151)-382-8543,
25407,Supercarclassics.Com,0.0,,"37 Liverpool Road, Neston, Cheshire, CH64 3RB",(0151)-382-7182,www.supercarclassics.com
14305,Peoples Liverpool Prescot,4.8," Try Before You Buy, Personalised Videos, Reserve Online for £99","Bridge Road, Prescot, Liverpool, Merseyside, L34 5TD",(0151)-382-7603,www.peoplescars.co.uk
285925,Formby Car Centre,5.0,,"UNIT 3 STEPHENSON WAY, FORMBY BUSINESS PARK, FORMBY, Liverpool, Lancashire, L37 8EG",(07723)-514637,www.formbycarcentre.co.uk
10034420,RFR MOTORS LIMITED,0.0,,"238a Warrington Road, Whiston, Prescot, Merseyside, L35 2UA",(07822)-001321,www.rfrmotors.co.uk
10002763,Red Lion Car Sales Ltd,5.0,,"309 CHESTER ROAD, LITTLE SUTTON, Ellesmere Port, Cheshire, CH66 1QQ",(07441)-907801,www.redlioncarsales.com
4535,Five Star Of Formby,5.0,,"37 Church Road, Formby, Merseyside, L37 3NA",(01704)-206761,
10035420,Rainford Cars Ltd,5.0," FAMILY OWNED COMPANY, FCA APPROVED","Station Road, Little Sutton, Ellesmere Port, Cheshire, CH66 1NU",(07537)-122613,www.rainfordcars.co.uk
10035419,J M Car Sales,4.9,,"Station Road, Little Sutton, Ellesmere Port, Cheshire, CH66 1NU",(07537)-125132,www.jmcarsalescheshire.co.uk
10025429,Hollywood Motors,0.0,,"311 Chester Road, Little Sutton, Ellesmere Port, Cheshire, CH66 3RF",(07537)-124511,hollywoodmotors.co.uk
10023262,Port Van Sales Limited,4.9,"Part exchange allways welcome,  Finance options available,  Highly rated","PHOENIX ESTATE ROSSMORE ROAD EAST, Ellesmere Port, Cheshire, CH65 3BR",(0151)-382-0549,www.portvansales.co.uk
10191,Vauxhall Ellesmere Port,4.7,"Click and Collect Available, Home Delivery Available","Rossmore Road East, Ellesmere Port, Wirral, Merseyside, CH65 3AL",(0151)-382-8371,www.lookers.co.uk
10035754,CHESHIRE MOTOR SALES LTD,5.0,,"Unit 10, Rossbank Road (unit 19), Ellesmere Port, Cheshire, CH65 3AN",(07868)-809723,cheshire-motorsales.co.uk
527972,PSD Vehicle Sales,4.6," Established in 1978,  5 Star Customer Service, Every vehicle safety checked","555 Prescot Road, St Helens, Merseyside, WA10 3BZ",(07441)-914615,www.psdvehiclesales.co.uk
21723,Halliwell Jones Chester MINI,0.0," Family owned business, Over 250 cars in group stock, Reserve online for £99","Parkgate Rd, Puddington, Cheshire, CH1 6EZ",(0151)-382-8369,www.halliwelljones.co.uk
344178,Vauxhall St Helens,4.6,"Click & Collect Available, Delivery Available, Manufacturer Approved Cars","Knowsley Road, St Helens, Merseyside, WA10 4PH",(01744)-357901,www.lookers.co.uk
10037362,JLT MOTORS LTD,5.0,,"152 Prescot Road, St. Helens, Merseyside, WA10 3TX",(01744)-357639,www.jltmotors.co.uk
16466,James Wright Cars Ltd,5.0,,"35 Bushey Lane, Rainford, Merseyside, WA11 7TD",(01744)-357323,www.jameswrightcars.co.uk
723076,Birkdale Cars Ltd,4.3,"5 Star Rated On All Platforms,  Highly Rated Dealer 2019-2024,  With Over 50 Years Experience","7 Bridge Avenue, Ormskirk, Lancashire, L39 4RL",(01695)-361569,www.birkdalecars.co.uk
10045306,RAINFORD AUTOMOTIVE LTD,5.0,,"Unit 2, Sandwash Close, Rainford, St. Helens, Merseyside, WA11 8LY",(07822)-001348,
10043030,APC,5.0,,"Unit 1 Sandwash Close, Rainford, St. Helens, Merseyside, WA11 8LY",(07418)-690392,
282118,Victoria Park Garage Ltd,3.7,,"7-9 Dentons Green Lane, St. Helens, Merseyside, WA10 2QF",(01744)-357589,www.victoriaparkgarage.co.uk
10005618,Chapelhouse St. Helens,4.8,"Selected cars with 0% APR, Free MOTs for life!, Up to £5,000 Cashback","CANAL STREET, St Helens, Merseyside, WA10 3JG",(01744)-357478,www.chapelhouse.co.uk
10029699,MG Cheshire Oaks,5.0," Full Safety Check/Preparation, Minimum 12  months warranty ","3 Oakland Drive, Ellesmere Port, CH65 9LG",(0151)-382-8346,www.holdcroft.com
675367,Cheshire Oaks Hyundai,4.9,"Click and collect available , Full safety check/preparation, Minimum 3 month warranty","Oaklands Drive, LONGLOOMS ROAD EAST, Ellesmere Port, Cheshire, CH65 9LG",(0151)-382-7844,www.holdcroft.com
23352,Cheshire Oaks Honda,4.7,"Click and collect available , Full safety check/preparation, Minimum 3 month warranty","3 Oakland Drive, Cheshire Oaks, Ellesmere Port, Cheshire, CH65 9LG",(0151)-382-7846,www.holdcroft.com
10045705,Cheshire Motor Works,5.0,"6 Month Platinum warranty, Specialist in detailing & PPF, Home delivery Available","6 Helix Business Park, New Bridge Road, Ellesmere Port, CH65 4LR",(01244)-988200,www.cheshiremotorworks.co.uk
140884,Lancashire Auto,5.0,"Ford Authorised Repairer,  Family run business,  Trading since 1948","Hayfield Road, Ormskirk, Lancashire, L39 1NZ",(01695)-361906,lancashireauto.co.uk
10039568,Porsche Centre Chester,4.8,"The UK's Leading Retailer, Reserve a vehicle , Click & Collect","Longlooms Rd, Cheshire Oaks, Ellesmere Port, CH65 9LF",(0151)-382-1956,www.sytner.co.uk
4537,Gregory Garage,5.0,,"49 HALSALL ROAD, HALSALL, Ormskirk, Lancashire, L39 8RW",(01704)-206477,www.4x4lancashire.co.uk
123427,Arnold Clark St Helens Renault / Dacia / Vanstore,4.9,"Reserve your vehicle online, Click & Collect close to you, Live video appointments","Delphwood Drive, (off Sherdley Road), St. Helens, Merseyside, WA9 5JE",(01744)-357593,www.arnoldclark.com
27429,Mercedes-Benz Of Cheshire Oaks,4.2,"Manufacturer Approved Dealer., Reserve a vehicle for £199, Aftersales facilities.","Longlooms Road East, Ellesmere Port, Cheshire, CH65 9LF",(01244)-988910,www.group1auto.co.uk
11274,Cheshire Oaks Audi,3.7,"Manufacturer Approved Dealer,  Price checked to market, Aftersales facilities","LONGLOOMS ROAD EAST, Ellesmere Port, Cheshire, CH65 9LF",(0151)-382-7800,www.group1auto.co.uk
10017392,Pentagon St Helens,0.0,"New & Used Car Sales, Service and Parts Departments,  Over 30 Years In Business","SHERDLEY ROAD, St Helens, Merseyside, WA9 5AD",(01744)-357573,www.pentagon-group.co.uk
67914,Automotive,3.0,,"102 WIGAN ROAD, WESTHEAD, Ormskirk, Lancashire, L40 6HZ",(01695)-361826,www.automotive102.co.uk
15385,Vertu Nissan Widnes,4.9,"Live video presentation, Nissan main retailer, Ownership packages to suit you","Moor Lane, Widnes, Cheshire, WA8 7AL",(0151)-382-8036,www.Vertumotors.com
10040758,Luxcarz Ltd,5.0," 30 Years in the Motor Trade, Standard 6 months ","31 Parr Street, St. Helens, Merseyside, WA9 1JU",(07537)-123149,www.luxcarz.co.uk
26608,Mitchell Skoda (Chester),0.0,,"Stanney Mill Lane, Cheshire Oaks, Chester, Cheshire, CH2 4RG",(0151)-382-7996,www.mitchellgroup.co.uk
14527,Lexus Chester,3.0,"Approved Lexus Dealer ,  We go above and beyond","Stanney Mill Lane, Cheshire Oaks, Chester, Cheshire, CH2 4RG",(0151)-382-7995,www.mitchellgroup.co.uk
26607,Mitchell Mazda,0.0,Mazda Approved Used Cars,"Cheshire Oaks, Chester, Cheshire, CH2 4RG",(0151)-382-7994,www.mitchellgroup.co.uk
10009059,Chapelhouse Southport,4.8,"Selected cars with 0% APR, Free MOTs for life!, Up to £5,000 Cashback","LIVERPOOL ROAD, Southport, Merseyside, PR8 3NG",(01704)-827201,www.chapelhouse.co.uk
10040265,GoMotive,4.4,,"42B Parr Street, St. Helens, Merseyside, WA9 1JZ",(07537)-125086,gomotivesales.co.uk
10045222,Jafs used cars,5.0,,"The Old Ambulance Station, Chester Road, Flint, Clwyd, CH6 5DT",(07537)-123280,jafusedcars.co.uk
3376,Middlehurst Garage,5.0," Established 1957 ,  Family owned and run business, On-site workshop & MOT station","Jackson Street, St Helens, Merseyside, WA9 1AW",(01744)-357585,www.middlehurst.co.uk
10040360,Acorn Kia St Helens,4.7,"Over 500 Cars in Group Stock!,  Multi-Award Winning Business!,  Over 40 Years of Experience!","Jackson Street, St. Helens, Merseyside, WA9 1AW",(01744)-357040,www.acorn-group.co.uk
10041057,West Coast SG,4.3,,"115A, Burnley Road, Southport, Merseyside, PR8 3LP",(07537)-122283,www.westcoastsg.co.uk
10005122,Innovation Cars (UK) Limited,5.0,"APPROVED RAC DEALER ,  15 years of happy motoring, RAC WARRANTY  ","642 Liverpool Road, Southport, Merseyside, PR8 3BH",(07537)-125198,www.innovationcars.co.uk
10046204,APEXRIDGE AUTO GROUP LIMITED,5.0,,"Picow Farm Road, Runcorn, Cheshire, WA7 4UN",(07537)-165795,www.apexridgeauto.com
10013513,Flintshire Car Sales,0.0,"OVER 100 VEHICLES IN STOCK, AA WARRANTY ON EVERY VEHICLE, FINANCE QUOTES AVAILABLE ","FLINTSHIRE HOUSE UNIT F39 ASHMOUNT ENTERPRISE PARK, ABER ROAD, Flint, Clwyd, CH6 5YJ",(07457)-401203,www.flintshirecarsalesltd.co.uk
10026733,eStar Truck and Van Limited Deeside,5.0,,"Deeside Industrial Park, Deeside, Clwyd, CH5 2NX",(01244)-988659,www.estartruckandvan.co.uk
10005647,NK Car Sales (NW) LTD,5.0," Highly Rated Award - X4 Years,  10 Yr Motor Trade Experience, Finance Specialist","UNIT 5, The Barge Business Park, MERTON BANK ROAD, St Helens, Merseyside, WA9 1HZ",(01744)-357502,www.nkcarsalesnwltd.co.uk
7513,Forward Autos,0.0,,"Gaskell Street, St Helens, Merseyside, WA9 1PX",(01744)-357587,www.forwardautos.co.uk
10039968,CGE Commercials Ltd,5.0,,"1 Garnett Place, Skelmersdale, Lancashire, WN8 9UB",(07441)-906139,www.cgecommercial.com
10004656,Widnes Motors,5.0,DVSA Approved MOT Test Station,"LYNCH & GRICE HOUSE, WARRINGTON ROAD, Widnes, Cheshire, WA8 0ST",(0151)-382-7690,www.widnesmotcentre.com
10035704,Automotive Passion,5.0,"20 Years going strong, JDM Sports Specialists ","West Lancashire Steels Abbotsfield Road, St. Helens, Merseyside, WA9 4HU",(01925)-748703,www.automotivepassion.co.uk
446,Ron Hodgson Specialist Cars,5.0,"Free Home Delivery, Part Exchange Welcome, Low Rate Finance Available","10 Heaton Court, Scarisbrick Business Park, Scarisbrick, Ormskirk, Lancashire, L40 8HS",(07480)-736973,www.ronhodgson.co.uk
10004504,Pathway Motor Company of Warrington Limited,5.0,"FCA Number: 748980,  Multiple Award Winner, All P/X Welcome","UNIT 4, 1 TANHOUSE LANE, Widnes, Cheshire, WA8 0RZ",(07441)-953096,www.pathwaymotorcompany.co.uk
147677,Peter Scott Cars,5.0," Family Run Business- 30+ years, Low rate finance available , All Vehicles AA Inspected","1 Tanhouse Lane, Widnes, Cheshire, WA8 0RZ",(07441)-915750,www.peterscottcars.co.uk
17916,Sutton Car Centre,0.0,,"97-99 Junction Lane, St. Helens, Merseyside, WA9 3JN",(01744)-357582,www.suttoncarcentre.co.uk
10043501,Cars Excel Ltd,5.0,,"45 West End Road, Haydock, St. Helens, Merseyside, WA11 0AE",(07441)-946587,
10044051,Carr Mill Motors,5.0,,"113 Carr Mill Road, The Beaches, Billinge, Wigan, Lancashire, WN5 7TY",(07441)-940505,carrmillmotors.co.uk
